epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3245,2.14908,4.25693,2.07811,0.0067,0.66483,0.03648,0.0116,1.52033,3.64817,1.70889,0.0001,0.0001,0.0001
2,36.6992,1.46184,3.43377,1.3943,0.0107,1,0.46602,0.24583,1.29239,3.26566,1.2666,0.000210396,0.000210396,0.000210396
3,42.2582,1.34762,2.46905,1.31867,0.00894,1,0.55065,0.32102,1.23187,3.13277,1.20436,0.000318565,0.000318565,0.000318565
4,47.0776,1.35689,1.80693,1.32041,0.00905,1,0.7706,0.45278,1.39055,3.13638,1.24482,0.000424506,0.000424506,0.000424506
5,53.1196,1.33045,1.5806,1.2916,0.01121,1,0.76633,0.43579,1.4047,3.19742,1.2982,0.00052822,0.00052822,0.00052822
6,57.9685,1.29717,1.44412,1.22596,0.00944,1,0.91668,0.52822,1.37293,3.06612,1.29529,0.000629706,0.000629706,0.000629706
7,62.2368,1.30546,1.40161,1.22168,0.00887,1,0.81139,0.49761,1.41859,2.87967,1.242,0.000728965,0.000728965,0.000728965
8,68.3849,1.277,1.31255,1.21444,1,0.44455,0.99103,0.58673,1.38643,2.41869,1.22423,0.000825996,0.000825996,0.000825996
9,73.1797,1.24617,1.29951,1.1955,0.88588,0.50708,0.93477,0.54345,1.36194,2.55947,1.27203,0.0009208,0.0009208,0.0009208
10,78.4154,1.25315,1.20872,1.18503,0.90506,0.83574,0.90644,0.51637,1.5202,2.15199,1.37393,0.00101338,0.00101338,0.00101338
11,83.6178,1.28087,1.22673,1.23391,0.97624,0.83134,0.9644,0.59889,1.41034,1.65413,1.21577,0.00110373,0.00110373,0.00110373
12,88.6173,1.24234,1.201,1.21169,0.88653,0.89998,0.97527,0.57515,1.47468,1.8232,1.39895,0.00111388,0.00111388,0.00111388
13,94.0311,1.27339,1.20512,1.22219,0.9082,0.85288,0.9692,0.58594,1.46097,1.6423,1.25267,0.0011015,0.0011015,0.0011015
14,99.4194,1.22743,1.15239,1.19251,0.86821,0.90848,0.98714,0.63805,1.35723,1.54867,1.17462,0.00108913,0.00108913,0.00108913
15,104.135,1.19965,1.10709,1.17401,0.80331,0.91211,0.96818,0.59601,1.43764,1.7349,1.31455,0.00107675,0.00107675,0.00107675
16,109.976,1.24517,1.0681,1.21084,0.57139,0.7495,0.91557,0.55826,1.38029,2.49592,1.42192,0.00106437,0.00106437,0.00106437
