epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70435,2.06762,4.24528,1.99972,0.00353,0.44777,0.02717,0.0139,1.44277,3.75586,1.79278,0.0001,0.0001,0.0001
2,12.6571,1.46619,3.14043,1.42341,0.0075,1,0.32916,0.18877,1.33757,3.06583,1.29963,0.000210396,0.000210396,0.000210396
3,17.6401,1.35258,2.08864,1.33516,0.00951,1,0.46752,0.29348,1.30996,3.12292,1.30546,0.000318565,0.000318565,0.000318565
4,22.7027,1.33044,1.7608,1.29294,0.0087,0.86572,0.44895,0.20663,1.52338,3.44107,1.5571,0.000424506,0.000424506,0.000424506
5,28.0613,1.28324,1.43544,1.30396,0.83741,0.47048,0.63154,0.33241,1.34717,3.03835,1.34143,0.00052822,0.00052822,0.00052822
6,32.562,1.27529,1.24914,1.32481,0.96715,0.26528,0.72963,0.42146,1.36021,2.8726,1.34831,0.000629706,0.000629706,0.000629706
7,37.6133,1.24101,1.20654,1.29779,0.98605,0.29153,0.98486,0.60908,1.32014,2.72192,1.39753,0.000728965,0.000728965,0.000728965
8,42.3922,1.26763,1.16956,1.32516,0.96253,0.33109,0.99057,0.62644,1.30465,2.44175,1.40081,0.000825996,0.000825996,0.000825996
9,47.0224,1.24229,1.11574,1.31553,0.95179,0.8975,0.969,0.59578,1.31324,1.95437,1.34925,0.0009208,0.0009208,0.0009208
10,52.3431,1.23251,1.0526,1.27795,0.96526,0.98376,0.98587,0.60676,1.3504,1.47254,1.49711,0.00101338,0.00101338,0.00101338
11,57.3414,1.26257,1.07347,1.31128,0.90232,0.84894,0.98669,0.60167,1.40947,1.8028,1.44785,0.00110373,0.00110373,0.00110373
12,62.4833,1.21761,1.02219,1.28283,0.98746,0.99643,0.98939,0.64089,1.31485,1.21657,1.37462,0.00111388,0.00111388,0.00111388
13,67.7506,1.25962,1.05899,1.29368,0.97655,0.97463,0.98645,0.62261,1.30651,1.13046,1.42126,0.0011015,0.0011015,0.0011015
14,72.551,1.24519,1.0453,1.32743,0.85155,0.8739,0.97915,0.62927,1.31752,1.26118,1.52504,0.00108913,0.00108913,0.00108913
15,77.0401,1.20572,1.00498,1.28793,0.98358,1,0.99297,0.64317,1.32778,1.03632,1.51199,0.00107675,0.00107675,0.00107675
16,82.4204,1.23892,0.93182,1.30326,0.98043,0.99096,0.98993,0.65601,1.24435,0.94234,1.39513,0.00106437,0.00106437,0.00106437
17,87.2585,1.18415,0.91023,1.24782,0.80376,0.95865,0.98484,0.5933,1.38236,1.71782,1.61012,0.001052,0.001052,0.001052
18,92.1617,1.22394,0.94551,1.30916,0.94843,0.8813,0.97532,0.62847,1.3436,1.23556,1.53726,0.00103962,0.00103962,0.00103962
19,97.652,1.20287,0.89184,1.26931,0.96557,0.99267,0.98828,0.65255,1.35034,0.84671,1.56761,0.00102725,0.00102725,0.00102725
20,102.415,1.1588,0.83696,1.26604,0.82736,0.94234,0.99108,0.64632,1.33795,1.32117,1.59128,0.00101488,0.00101488,0.00101488
21,107.34,1.16045,0.8483,1.25357,0.99366,1,0.995,0.65483,1.4169,0.74417,1.69857,0.0010025,0.0010025,0.0010025
