epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.37886,1.72123,3.5899,1.49694,0.00696,0.87625,0.25113,0.12847,1.39445,3.37165,1.21521,0.00025,0.00025,0.00025
2,13.3352,1.40206,1.99238,1.28337,0.00644,0.80293,0.38726,0.19421,1.47246,3.33421,1.33438,0.000509963,0.000509963,0.000509963
3,18.1608,1.40246,1.50319,1.31645,0.99146,0.20921,0.74557,0.42574,1.35166,3.08425,1.3221,0.000767328,0.000767328,0.000767328
4,22.952,1.38656,1.35024,1.30259,0.90635,0.31463,0.88831,0.52516,1.35438,2.46811,1.29945,0.00102209,0.00102209,0.00102209
5,27.7071,1.36209,1.25834,1.28397,0.73848,0.69135,0.74301,0.40751,1.48155,1.92796,1.41681,0.00122525,0.00122525,0.00122525
6,32.4409,1.36327,1.1466,1.30771,0.67101,0.74071,0.74578,0.40269,1.58217,1.68617,1.52966,0.00121906,0.00121906,0.00121906
7,37.2499,1.34819,1.13623,1.30819,0.6193,0.67581,0.61391,0.33135,1.56453,1.6211,1.62721,0.00121287,0.00121287,0.00121287
8,42.0351,1.30877,1.04617,1.2854,0.85977,0.90899,0.95678,0.57854,1.37335,0.91856,1.42696,0.00120669,0.00120669,0.00120669
9,46.7854,1.29673,1.00328,1.26967,0.83131,0.89355,0.95772,0.5839,1.34618,0.97436,1.39405,0.0012005,0.0012005,0.0012005
10,51.5049,1.31203,0.93375,1.27496,0.93113,0.93244,0.96771,0.60717,1.34421,0.77772,1.33945,0.00119431,0.00119431,0.00119431
11,56.1913,1.3116,0.88226,1.28846,0.87244,0.83748,0.97372,0.59898,1.36442,1.1482,1.36219,0.00118812,0.00118812,0.00118812
12,60.9216,1.29021,0.85986,1.26842,0.84071,0.91425,0.95631,0.57685,1.35965,1.29319,1.42199,0.00118194,0.00118194,0.00118194
13,65.5542,1.28668,0.83832,1.26168,0.96126,0.96238,0.9849,0.59595,1.36865,0.78642,1.42014,0.00117575,0.00117575,0.00117575
14,70.2358,1.25321,0.80692,1.24309,0.88361,0.82503,0.8741,0.52805,1.38364,1.30457,1.40651,0.00116956,0.00116956,0.00116956
15,74.911,1.24689,0.75325,1.23664,0.90899,0.8654,0.97133,0.59794,1.33492,1.30271,1.34355,0.00116337,0.00116337,0.00116337
16,79.5972,1.24188,0.74021,1.22929,0.97334,0.97647,0.98641,0.60126,1.30606,0.68801,1.31939,0.00115719,0.00115719,0.00115719
17,84.239,1.24574,0.74308,1.23743,0.94025,0.90684,0.94811,0.577,1.39596,0.84693,1.4128,0.001151,0.001151,0.001151
18,88.9145,1.25923,0.73283,1.24789,0.96452,0.96633,0.98731,0.63613,1.27931,0.65386,1.30879,0.00114481,0.00114481,0.00114481
19,93.5652,1.23299,0.71382,1.22427,0.97025,0.96811,0.9879,0.6333,1.27939,0.64666,1.32023,0.00113863,0.00113863,0.00113863
20,98.232,1.23085,0.71892,1.22866,0.96068,0.9612,0.98488,0.62088,1.28871,0.6989,1.3143,0.00113244,0.00113244,0.00113244
21,102.865,1.21687,0.69589,1.23486,0.97637,0.96903,0.98883,0.63401,1.28408,0.63532,1.29879,0.00112625,0.00112625,0.00112625
22,107.516,1.22018,0.67085,1.22924,0.97957,0.96591,0.98617,0.64185,1.27007,0.62134,1.29252,0.00112006,0.00112006,0.00112006
23,112.234,1.2121,0.65556,1.21848,0.9735,0.9726,0.98854,0.64892,1.2583,0.63386,1.29453,0.00111388,0.00111388,0.00111388
24,116.901,1.2128,0.65478,1.22978,0.9664,0.96173,0.98626,0.65782,1.26099,0.59599,1.29829,0.00110769,0.00110769,0.00110769
25,121.59,1.21734,0.65424,1.20974,0.97596,0.9722,0.99059,0.65489,1.25794,0.59542,1.29989,0.0011015,0.0011015,0.0011015
26,126.244,1.19738,0.66292,1.20697,0.94412,0.94133,0.97577,0.60614,1.32425,0.63448,1.34679,0.00109531,0.00109531,0.00109531
27,130.874,1.21164,0.63388,1.22908,0.97111,0.97476,0.99164,0.63992,1.29103,0.61996,1.31901,0.00108913,0.00108913,0.00108913
28,135.534,1.19113,0.6277,1.20001,0.97831,0.93356,0.97666,0.62203,1.27847,0.70124,1.35736,0.00108294,0.00108294,0.00108294
29,140.179,1.19768,0.63932,1.2075,0.96573,0.96242,0.98957,0.62629,1.32863,0.61086,1.33691,0.00107675,0.00107675,0.00107675
30,144.838,1.18371,0.63051,1.21571,0.97519,0.97758,0.99088,0.65703,1.25007,0.58738,1.30977,0.00107056,0.00107056,0.00107056
31,149.51,1.18929,0.61965,1.20717,0.97758,0.96842,0.98941,0.66048,1.2577,0.57444,1.31201,0.00106437,0.00106437,0.00106437
32,154.188,1.16048,0.61467,1.19246,0.97469,0.96448,0.98816,0.6476,1.25614,0.60067,1.3176,0.00105819,0.00105819,0.00105819
33,158.848,1.16145,0.59863,1.19772,0.98005,0.98432,0.98978,0.67056,1.23261,0.5506,1.26082,0.001052,0.001052,0.001052
34,163.552,1.13379,0.58096,1.1859,0.97066,0.9781,0.99005,0.65025,1.25625,0.57514,1.29136,0.00104581,0.00104581,0.00104581
35,168.19,1.19045,0.63686,1.2058,0.97698,0.98184,0.99069,0.65106,1.26629,0.57582,1.31251,0.00103962,0.00103962,0.00103962
36,172.851,1.15705,0.61594,1.18308,0.94267,0.97846,0.98575,0.6497,1.27991,0.59662,1.30206,0.00103344,0.00103344,0.00103344
